Input.TaskType,Input.Condition,Input.TreatmentType,Input.ConversationId,Input.ResponseId,Input.Response,Answer.age,Answer.comment,Answer.empathy,Answer.fakeinput,Answer.gender,Answer.literacy,Approve,Reject
1,None,0,1,326O153BMJUYJKTJKSARGD8X9LKEDQ,"Wait, what? What's going on?",36-45,{},slightly,{},female,native,,
1,None,0,1,326O153BMJUYJKTJKSARGD8X9LKEDQ,"Wait, what? What's going on?",18-25,{},moderately,{},female,native,,
1,None,0,1,326O153BMJUYJKTJKSARGD8X9LKEDQ,"Wait, what? What's going on?",26-35,{},very,{},female,native,,
1,None,0,1,32RIADZIST0MT7F8SCT32QI6XZ64SA,What's going on? You need me to come home?,26-35,{},very,{},male,native,,
1,None,0,1,32RIADZIST0MT7F8SCT32QI6XZ64SA,What's going on? You need me to come home?,18-25,{},moderately,{},male,profession,,
1,None,0,1,32RIADZIST0MT7F8SCT32QI6XZ64SA,What's going on? You need me to come home?,46-55,{},very,{},male,native,,
1,None,0,1,379J5II41PCHHWHBX98FZQG2IVELE7,Okay! We'll clean it when I get home.,26-35,{},moderately,{},male,native,,
1,None,0,1,379J5II41PCHHWHBX98FZQG2IVELE7,Okay! We'll clean it when I get home.,26-35,{},slightly,{},male,native,,
1,None,0,1,379J5II41PCHHWHBX98FZQG2IVELE7,Okay! We'll clean it when I get home.,36-45,{},moderately,{},female,native,,
1,None,0,1,38SKSKU7R2TTX1JXTSY6K5EUAJVLIG,Don't worry and be happy. I will take care of everything.,36-45,{},very,{},female,native,,
1,None,0,1,38SKSKU7R2TTX1JXTSY6K5EUAJVLIG,Don't worry and be happy. I will take care of everything.,36-45,{},moderately,{},female,native,,
1,None,0,1,38SKSKU7R2TTX1JXTSY6K5EUAJVLIG,Don't worry and be happy. I will take care of everything.,36-45,{},extremely,{},female,native,,
1,None,0,1,39GXDJN2OUA340JEYAOLUPIIYMMV8X,Do I need a hazmat suit?,18-25,{},none,{},male,native,,
1,None,0,1,39GXDJN2OUA340JEYAOLUPIIYMMV8X,Do I need a hazmat suit?,26-35,{},none,{},male,native,,
1,None,0,1,39GXDJN2OUA340JEYAOLUPIIYMMV8X,Do I need a hazmat suit?,46-55,{},none,{},female,native,,
1,None,0,1,3MTMREQS4WEU2DCYLIDVCI7RVNAAWK,Uh oh. What's going on?,46-55,{},moderately,{},female,native,,
1,None,0,1,3MTMREQS4WEU2DCYLIDVCI7RVNAAWK,Uh oh. What's going on?,26-35,{},none,{},male,native,,
1,None,0,1,3MTMREQS4WEU2DCYLIDVCI7RVNAAWK,Uh oh. What's going on?,26-35,{},none,{},male,native,,
1,None,0,1,3NVC2EB65RVY7X8DR4G9A7E10HAY3V,What's going on?,36-45,{},slightly,{},female,native,,
1,None,0,1,3NVC2EB65RVY7X8DR4G9A7E10HAY3V,What's going on?,26-35,{},slightly,{},male,native,,
1,None,0,1,3NVC2EB65RVY7X8DR4G9A7E10HAY3V,What's going on?,36-45,{},slightly,{},female,native,,
