HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.TaskType,Input.TreatmentType,Input.ConversationId,Input.ResponseId,Input.Response,Answer.age,Answer.comment,Answer.empathy,Answer.fakeinput,Answer.gender,Answer.literacy,Approve,Reject
322ZSN9Z5GGKLNUTRATSNCI7G6ET40,39WEDTMWD6CAM9UBA81S5KWI922VX6,"Quick 1-minute task, help rate text messages","Help a research project make a rating on text messages that you ""received""",text message,$0.05 ,Mon Feb 19 10:36:55 PST 2018,3,BatchId:3121197;OriginalHitTemplateId:920937336;,1800,259200,Thu Feb 22 10:36:55 PST 2018,,,3AMW0RGHOEYB2N9MI0456UJV121PNT,A2S96ZZ70YFPSK,Submitted,Mon Feb 19 10:48:53 PST 2018,Mon Feb 19 11:00:14 PST 2018,Thu Feb 22 11:00:14 PST 2018,,,,681,0% (0/0),0% (0/0),0% (0/0),1,0,1,326O153BMJUYJKTJKSARGD8X9LKEDQ,"Wait, what? What's going on?",36-45,{},slightly,{},female,native,,
322ZSN9Z5GGKLNUTRATSNCI7G6ET40,39WEDTMWD6CAM9UBA81S5KWI922VX6,"Quick 1-minute task, help rate text messages","Help a research project make a rating on text messages that you ""received""",text message,$0.05 ,Mon Feb 19 10:36:55 PST 2018,3,BatchId:3121197;OriginalHitTemplateId:920937336;,1800,259200,Thu Feb 22 10:36:55 PST 2018,,,3DY4FPOOA2K9M5YAXJULL6DNONORV1,A20O44S26VN11P,Submitted,Mon Feb 19 10:39:36 PST 2018,Mon Feb 19 10:39:55 PST 2018,Thu Feb 22 10:39:55 PST 2018,,,,19,0% (0/0),0% (0/0),0% (0/0),1,0,1,326O153BMJUYJKTJKSARGD8X9LKEDQ,"Wait, what? What's going on?",18-25,{},moderately,{},female,native,,
322ZSN9Z5GGKLNUTRATSNCI7G6ET40,39WEDTMWD6CAM9UBA81S5KWI922VX6,"Quick 1-minute task, help rate text messages","Help a research project make a rating on text messages that you ""received""",text message,$0.05 ,Mon Feb 19 10:36:55 PST 2018,3,BatchId:3121197;OriginalHitTemplateId:920937336;,1800,259200,Thu Feb 22 10:36:55 PST 2018,,,3URFVVM166EIBHV12AETBND3JXZUZ9,A2A0M30DSA7ZN,Submitted,Mon Feb 19 10:43:03 PST 2018,Mon Feb 19 10:44:38 PST 2018,Thu Feb 22 10:44:38 PST 2018,,,,95,0% (0/0),0% (0/0),0% (0/0),1,0,1,326O153BMJUYJKTJKSARGD8X9LKEDQ,"Wait, what? What's going on?",26-35,{},very,{},female,native,,
3X4Q1O9UBHI1RI74XR50WEWU80NO7T,39WEDTMWD6CAM9UBA81S5KWI922VX6,"Quick 1-minute task, help rate text messages","Help a research project make a rating on text messages that you ""received""",text message,$0.05 ,Mon Feb 19 10:36:55 PST 2018,3,BatchId:3121197;OriginalHitTemplateId:920937336;,1800,259200,Thu Feb 22 10:36:55 PST 2018,,,352YTHGROW9X3Y1SHIH4YCB4OU44HG,AY9S6HCHZ8F1Y,Submitted,Mon Feb 19 11:16:19 PST 2018,Mon Feb 19 11:39:46 PST 2018,Thu Feb 22 11:39:46 PST 2018,,,,1407,0% (0/0),0% (0/0),0% (0/0),1,0,1,32RIADZIST0MT7F8SCT32QI6XZ64SA,What's going on? You need me to come home?,26-35,{},very,{},male,native,,
3X4Q1O9UBHI1RI74XR50WEWU80NO7T,39WEDTMWD6CAM9UBA81S5KWI922VX6,"Quick 1-minute task, help rate text messages","Help a research project make a rating on text messages that you ""received""",text message,$0.05 ,Mon Feb 19 10:36:55 PST 2018,3,BatchId:3121197;OriginalHitTemplateId:920937336;,1800,259200,Thu Feb 22 10:36:55 PST 2018,,,3OCHAWUVGPGF3QQA7EM68FOU964KX6,AWYAVVEVO3O6M,Submitted,Mon Feb 19 10:46:00 PST 2018,Mon Feb 19 10:46:15 PST 2018,Thu Feb 22 10:46:15 PST 2018,,,,15,0% (0/0),0% (0/0),0% (0/0),1,0,1,32RIADZIST0MT7F8SCT32QI6XZ64SA,What's going on? You need me to come home?,18-25,{},moderately,{},male,profession,,
3X4Q1O9UBHI1RI74XR50WEWU80NO7T,39WEDTMWD6CAM9UBA81S5KWI922VX6,"Quick 1-minute task, help rate text messages","Help a research project make a rating on text messages that you ""received""",text message,$0.05 ,Mon Feb 19 10:36:55 PST 2018,3,BatchId:3121197;OriginalHitTemplateId:920937336;,1800,259200,Thu Feb 22 10:36:55 PST 2018,,,3Z2R0DQ0JIABGAV3N3QAKUHTC062ES,A110KENBXU7SUJ,Submitted,Mon Feb 19 10:41:58 PST 2018,Mon Feb 19 10:42:15 PST 2018,Thu Feb 22 10:42:15 PST 2018,,,,17,0% (0/0),0% (0/0),0% (0/0),1,0,1,32RIADZIST0MT7F8SCT32QI6XZ64SA,What's going on? You need me to come home?,46-55,{},very,{},male,native,,
3BA7SXOG1JM8O943ZOEA49XUU7E8RA,39WEDTMWD6CAM9UBA81S5KWI922VX6,"Quick 1-minute task, help rate text messages","Help a research project make a rating on text messages that you ""received""",text message,$0.05 ,Mon Feb 19 10:36:55 PST 2018,3,BatchId:3121197;OriginalHitTemplateId:920937336;,1800,259200,Thu Feb 22 10:36:55 PST 2018,,,3DQQ64TANHH1PHI0A1VS2DWMUE2PWH,APRBKGIRNIXRW,Submitted,Mon Feb 19 10:39:54 PST 2018,Mon Feb 19 10:48:11 PST 2018,Thu Feb 22 10:48:11 PST 2018,,,,497,0% (0/0),0% (0/0),0% (0/0),1,0,1,379J5II41PCHHWHBX98FZQG2IVELE7,Okay! We'll clean it when I get home.,26-35,{},moderately,{},male,native,,
3BA7SXOG1JM8O943ZOEA49XUU7E8RA,39WEDTMWD6CAM9UBA81S5KWI922VX6,"Quick 1-minute task, help rate text messages","Help a research project make a rating on text messages that you ""received""",text message,$0.05 ,Mon Feb 19 10:36:55 PST 2018,3,BatchId:3121197;OriginalHitTemplateId:920937336;,1800,259200,Thu Feb 22 10:36:55 PST 2018,,,3MYYFCXHJ43J326HXCZMDCZ39UH4G7,A7KLTVEIASF4J,Submitted,Mon Feb 19 10:41:20 PST 2018,Mon Feb 19 10:42:11 PST 2018,Thu Feb 22 10:42:11 PST 2018,,,,51,100% (1/1),0% (0/0),0% (0/0),1,0,1,379J5II41PCHHWHBX98FZQG2IVELE7,Okay! We'll clean it when I get home.,26-35,{},slightly,{},male,native,,
3BA7SXOG1JM8O943ZOEA49XUU7E8RA,39WEDTMWD6CAM9UBA81S5KWI922VX6,"Quick 1-minute task, help rate text messages","Help a research project make a rating on text messages that you ""received""",text message,$0.05 ,Mon Feb 19 10:36:55 PST 2018,3,BatchId:3121197;OriginalHitTemplateId:920937336;,1800,259200,Thu Feb 22 10:36:55 PST 2018,,,3X4JMASXCN56DXG5YPK60YITC59B0H,AJK246UQQ0C7I,Submitted,Mon Feb 19 10:43:02 PST 2018,Mon Feb 19 10:43:23 PST 2018,Thu Feb 22 10:43:23 PST 2018,,,,21,0% (0/0),0% (0/0),0% (0/0),1,0,1,379J5II41PCHHWHBX98FZQG2IVELE7,Okay! We'll clean it when I get home.,36-45,{},moderately,{},female,native,,
3XABXM4AJ118C8P3M9PAZJNPYLC8Q9,39WEDTMWD6CAM9UBA81S5KWI922VX6,"Quick 1-minute task, help rate text messages","Help a research project make a rating on text messages that you ""received""",text message,$0.05 ,Mon Feb 19 10:36:55 PST 2018,3,BatchId:3121197;OriginalHitTemplateId:920937336;,1800,259200,Thu Feb 22 10:36:55 PST 2018,,,3AZHRG4CU5G1A2CSJW50IFKHODY30K,A8E99XNOTT390,Submitted,Mon Feb 19 10:48:34 PST 2018,Mon Feb 19 10:49:03 PST 2018,Thu Feb 22 10:49:03 PST 2018,,,,29,0% (0/0),0% (0/0),0% (0/0),1,0,1,38SKSKU7R2TTX1JXTSY6K5EUAJVLIG,Don't worry and be happy. I will take care of everything.,36-45,{},very,{},female,native,,
