HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.TaskType,Input.TreatmentType,Input.ConversationId,Answer.age,Answer.comment,Answer.fakeinput,Answer.gender,Answer.literacy,Answer.response-1,Answer.response-10,Answer.response-2,Answer.response-3,Answer.response-4,Answer.response-5,Answer.response-6,Answer.response-7,Answer.response-8,Answer.response-9,Approve,Reject
3EKTG13IZUZC60BUO5RXNFPQ8I9MLD,3BXXHBDE9GZYK4R01Z9UUMD92YQELY,Research study task: Respond to a text message conversation,Help with a research project by responding to a text message conversation as if you were the texter,text message,$0.05 ,Sat Feb 17 18:59:18 PST 2018,10,BatchId:3119721;OriginalHitTemplateId:920937336;,3600,604800,Sat Feb 24 18:59:18 PST 2018,,,326O153BMJUYJKTJKSARGD8X9LKEDQ,A3VVR8NR3ED04C,Submitted,Sun Feb 18 15:53:17 PST 2018,Sun Feb 18 15:53:47 PST 2018,Sun Feb 25 15:53:47 PST 2018,,,,30,0% (0/0),0% (0/0),0% (0/0),0,0,1,26-35,{},{},male,native,"Wait, what? What's going on?",,,,,,,,,,,
3EKTG13IZUZC60BUO5RXNFPQ8I9MLD,3BXXHBDE9GZYK4R01Z9UUMD92YQELY,Research study task: Respond to a text message conversation,Help with a research project by responding to a text message conversation as if you were the texter,text message,$0.05 ,Sat Feb 17 18:59:18 PST 2018,10,BatchId:3119721;OriginalHitTemplateId:920937336;,3600,604800,Sat Feb 24 18:59:18 PST 2018,,,32RIADZIST0MT7F8SCT32QI6XZ64SA,AGEK5TH6YDHG1,Submitted,Sun Feb 18 11:58:48 PST 2018,Sun Feb 18 11:59:52 PST 2018,Sun Feb 25 11:59:52 PST 2018,,,,64,0% (0/0),0% (0/0),0% (0/0),0,0,1,26-35,{},{},female,native,What's going on? You need me to come home?,,,,,,,,,,,
3EKTG13IZUZC60BUO5RXNFPQ8I9MLD,3BXXHBDE9GZYK4R01Z9UUMD92YQELY,Research study task: Respond to a text message conversation,Help with a research project by responding to a text message conversation as if you were the texter,text message,$0.05 ,Sat Feb 17 18:59:18 PST 2018,10,BatchId:3119721;OriginalHitTemplateId:920937336;,3600,604800,Sat Feb 24 18:59:18 PST 2018,,,379J5II41PCHHWHBX98FZQG2IVELE7,AC14IYRT7YWCC,Submitted,Sun Feb 18 19:06:34 PST 2018,Sun Feb 18 19:07:20 PST 2018,Sun Feb 25 19:07:20 PST 2018,,,,46,0% (0/0),0% (0/0),0% (0/0),0,0,1,18-25,{},{},female,native,Okay! We'll clean it when I get home.,,,,,,,,,,,
3EKTG13IZUZC60BUO5RXNFPQ8I9MLD,3BXXHBDE9GZYK4R01Z9UUMD92YQELY,Research study task: Respond to a text message conversation,Help with a research project by responding to a text message conversation as if you were the texter,text message,$0.05 ,Sat Feb 17 18:59:18 PST 2018,10,BatchId:3119721;OriginalHitTemplateId:920937336;,3600,604800,Sat Feb 24 18:59:18 PST 2018,,,38SKSKU7R2TTX1JXTSY6K5EUAJVLIG,A18LFH7XW61JO9,Submitted,Sat Feb 17 20:12:12 PST 2018,Sat Feb 17 20:14:35 PST 2018,Sat Feb 24 20:14:35 PST 2018,,,,143,0% (0/0),0% (0/0),0% (0/0),0,0,1,26-35,{},{},male,native,Don't worry and be happy. I will take care of everything.,,,,,,,,,,,
3EKTG13IZUZC60BUO5RXNFPQ8I9MLD,3BXXHBDE9GZYK4R01Z9UUMD92YQELY,Research study task: Respond to a text message conversation,Help with a research project by responding to a text message conversation as if you were the texter,text message,$0.05 ,Sat Feb 17 18:59:18 PST 2018,10,BatchId:3119721;OriginalHitTemplateId:920937336;,3600,604800,Sat Feb 24 18:59:18 PST 2018,,,39GXDJN2OUA340JEYAOLUPIIYMMV8X,A2Y8H19KDBK3GK,Submitted,Sun Feb 18 01:59:04 PST 2018,Sun Feb 18 02:00:57 PST 2018,Sun Feb 25 02:00:57 PST 2018,,,,113,0% (0/0),0% (0/0),0% (0/0),0,0,1,26-35,{},{},male,native,Do I need a hazmat suit?,,,,,,,,,,,
3EKTG13IZUZC60BUO5RXNFPQ8I9MLD,3BXXHBDE9GZYK4R01Z9UUMD92YQELY,Research study task: Respond to a text message conversation,Help with a research project by responding to a text message conversation as if you were the texter,text message,$0.05 ,Sat Feb 17 18:59:18 PST 2018,10,BatchId:3119721;OriginalHitTemplateId:920937336;,3600,604800,Sat Feb 24 18:59:18 PST 2018,,,3MTMREQS4WEU2DCYLIDVCI7RVNAAWK,A4GXHVTRGW5P8,Submitted,Sun Feb 18 18:06:07 PST 2018,Sun Feb 18 18:07:09 PST 2018,Sun Feb 25 18:07:09 PST 2018,,,,62,0% (0/0),0% (0/0),0% (0/0),0,0,1,18-25,{},{},female,native,Uh oh. What's going on?,,,,,,,,,,,
3EKTG13IZUZC60BUO5RXNFPQ8I9MLD,3BXXHBDE9GZYK4R01Z9UUMD92YQELY,Research study task: Respond to a text message conversation,Help with a research project by responding to a text message conversation as if you were the texter,text message,$0.05 ,Sat Feb 17 18:59:18 PST 2018,10,BatchId:3119721;OriginalHitTemplateId:920937336;,3600,604800,Sat Feb 24 18:59:18 PST 2018,,,3NVC2EB65RVY7X8DR4G9A7E10HAY3V,A1L62VC27LQKPA,Submitted,Sat Feb 17 21:25:06 PST 2018,Sat Feb 17 21:25:40 PST 2018,Sat Feb 24 21:25:40 PST 2018,,,,34,0% (0/0),0% (0/0),0% (0/0),0,0,1,26-35,{},{},female,native,What's going on?,,,,,,,,,,,
3EKTG13IZUZC60BUO5RXNFPQ8I9MLD,3BXXHBDE9GZYK4R01Z9UUMD92YQELY,Research study task: Respond to a text message conversation,Help with a research project by responding to a text message conversation as if you were the texter,text message,$0.05 ,Sat Feb 17 18:59:18 PST 2018,10,BatchId:3119721;OriginalHitTemplateId:920937336;,3600,604800,Sat Feb 24 18:59:18 PST 2018,,,3RU7GD8VPPP8I01RQWLR5OT1OSAPSO,A36QD4HK0M6PUL,Submitted,Sat Feb 17 22:03:04 PST 2018,Sat Feb 17 22:04:17 PST 2018,Sat Feb 24 22:04:17 PST 2018,,,,73,0% (0/0),0% (0/0),0% (0/0),0,0,1,26-35,{},{},female,native,Want me to just head home?,,,,,,,,,,,
3EKTG13IZUZC60BUO5RXNFPQ8I9MLD,3BXXHBDE9GZYK4R01Z9UUMD92YQELY,Research study task: Respond to a text message conversation,Help with a research project by responding to a text message conversation as if you were the texter,text message,$0.05 ,Sat Feb 17 18:59:18 PST 2018,10,BatchId:3119721;OriginalHitTemplateId:920937336;,3600,604800,Sat Feb 24 18:59:18 PST 2018,,,3VNXK88KKDE3I52O32UZULDTIWE9VI,A2MQGU4NZZ8V0H,Submitted,Sun Feb 18 16:41:01 PST 2018,Sun Feb 18 16:41:54 PST 2018,Sun Feb 25 16:41:54 PST 2018,,,,53,0% (0/0),0% (0/0),0% (0/0),0,0,1,36-45,{},{},male,native,Well then you could use some time to relax.,,,,,,,,,,,
3EKTG13IZUZC60BUO5RXNFPQ8I9MLD,3BXXHBDE9GZYK4R01Z9UUMD92YQELY,Research study task: Respond to a text message conversation,Help with a research project by responding to a text message conversation as if you were the texter,text message,$0.05 ,Sat Feb 17 18:59:18 PST 2018,10,BatchId:3119721;OriginalHitTemplateId:920937336;,3600,604800,Sat Feb 24 18:59:18 PST 2018,,,3WJEQKOXA9Y11CWVOUOAJSHXZ5IA1S,A8UJNIY9R8S7W,Submitted,Sat Feb 17 19:37:34 PST 2018,Sat Feb 17 19:38:12 PST 2018,Sat Feb 24 19:38:12 PST 2018,,,,38,0% (0/0),0% (0/0),0% (0/0),0,0,1,26-35,Fun,{},male,native,Uh oh.  I think I'll stay out even longer tonight then.  Enjoy!,,,,,,,,,,,
