ResponseId,Response,J_WorkerId,J_Gender,J_Literacy,J_Age,Empathy,R_WorkerId,R_Gender,R_Literacy,R_Age,Treatment,ConversationId,,,,,,,,,,,,,,,,,,,,,,0
326O153BMJUYJKTJKSARGD8X9LKEDQ,"Wait, what? What's going on?",A2S96ZZ70YFPSK,female,native,36-45,slightly,A3VVR8NR3ED04C,male,native,26-35,0,1,,,,,,,,,,,,,,,,,,,,,,
326O153BMJUYJKTJKSARGD8X9LKEDQ,"Wait, what? What's going on?",A20O44S26VN11P,female,native,18-25,moderately,A3VVR8NR3ED04C,male,native,26-35,0,1,,,,,,,,,,,,,,,,,,,,,,
326O153BMJUYJKTJKSARGD8X9LKEDQ,"Wait, what? What's going on?",A2A0M30DSA7ZN,female,native,26-35,very,A3VVR8NR3ED04C,male,native,26-35,0,1,,,,,,,,,,,,,,,,,,,,,,
32RIADZIST0MT7F8SCT32QI6XZ64SA,What's going on? You need me to come home?,AY9S6HCHZ8F1Y,male,native,26-35,very,AGEK5TH6YDHG1,female,native,26-35,0,1,,,,,,,,,,,,,,,,,,,,,,
32RIADZIST0MT7F8SCT32QI6XZ64SA,What's going on? You need me to come home?,AWYAVVEVO3O6M,male,profession,18-25,moderately,AGEK5TH6YDHG1,female,native,26-35,0,1,,,,,,,,,,,,,,,,,,,,,,
32RIADZIST0MT7F8SCT32QI6XZ64SA,What's going on? You need me to come home?,A110KENBXU7SUJ,male,native,46-55,very,AGEK5TH6YDHG1,female,native,26-35,0,1,,,,,,,,,,,,,,,,,,,,,,
379J5II41PCHHWHBX98FZQG2IVELE7,Okay! We'll clean it when I get home.,APRBKGIRNIXRW,male,native,26-35,moderately,AC14IYRT7YWCC,female,native,18-25,0,1,,,,,,,,,,,,,,,,,,,,,,
379J5II41PCHHWHBX98FZQG2IVELE7,Okay! We'll clean it when I get home.,A7KLTVEIASF4J,male,native,26-35,slightly,AC14IYRT7YWCC,female,native,18-25,0,1,,,,,,,,,,,,,,,,,,,,,,
379J5II41PCHHWHBX98FZQG2IVELE7,Okay! We'll clean it when I get home.,AJK246UQQ0C7I,female,native,36-45,moderately,AC14IYRT7YWCC,female,native,18-25,0,1,,,,,,,,,,,,,,,,,,,,,,
38SKSKU7R2TTX1JXTSY6K5EUAJVLIG,Don't worry and be happy. I will take care of everything.,A8E99XNOTT390,female,native,36-45,very,A18LFH7XW61JO9,male,native,26-35,0,1,,,,,,,,,,,,,,,,,,,,,,
38SKSKU7R2TTX1JXTSY6K5EUAJVLIG,Don't worry and be happy. I will take care of everything.,AJK246UQQ0C7I,female,native,36-45,moderately,A18LFH7XW61JO9,male,native,26-35,0,1,,,,,,,,,,,,,,,,,,,,,,
38SKSKU7R2TTX1JXTSY6K5EUAJVLIG,Don't worry and be happy. I will take care of everything.,A3U761PEG7MFKT,female,native,36-45,extremely,A18LFH7XW61JO9,male,native,26-35,0,1,,,,,,,,,,,,,,,,,,,,,,
39GXDJN2OUA340JEYAOLUPIIYMMV8X,Do I need a hazmat suit?,A3MYTEE8WSEQ2Z,male,native,18-25,none,A2Y8H19KDBK3GK,male,native,26-35,0,1,,,,,,,,,,,,,,,,,,,,,,
39GXDJN2OUA340JEYAOLUPIIYMMV8X,Do I need a hazmat suit?,AY9S6HCHZ8F1Y,male,native,26-35,none,A2Y8H19KDBK3GK,male,native,26-35,0,1,,,,,,,,,,,,,,,,,,,,,,
39GXDJN2OUA340JEYAOLUPIIYMMV8X,Do I need a hazmat suit?,AYXXCTW7FHTVQ,female,native,46-55,none,A2Y8H19KDBK3GK,male,native,26-35,0,1,,,,,,,,,,,,,,,,,,,,,,
3MTMREQS4WEU2DCYLIDVCI7RVNAAWK,Uh oh. What's going on?,A1JEMN51X76N2O,female,native,46-55,moderately,A4GXHVTRGW5P8,female,native,18-25,0,1,,,,,,,,,,,,,,,,,,,,,,
3MTMREQS4WEU2DCYLIDVCI7RVNAAWK,Uh oh. What's going on?,AY9S6HCHZ8F1Y,male,native,26-35,none,A4GXHVTRGW5P8,female,native,18-25,0,1,,,,,,,,,,,,,,,,,,,,,,
3MTMREQS4WEU2DCYLIDVCI7RVNAAWK,Uh oh. What's going on?,APRBKGIRNIXRW,male,native,26-35,none,A4GXHVTRGW5P8,female,native,18-25,0,1,,,,,,,,,,,,,,,,,,,,,,
3NVC2EB65RVY7X8DR4G9A7E10HAY3V,What's going on?,A3U761PEG7MFKT,female,native,36-45,slightly,A1L62VC27LQKPA,female,native,26-35,0,1,,,,,,,,,,,,,,,,,,,,,,
