AssignmentId,WorkerId,Input.TaskType,Input.Precision,Input.TreatmentTypes,Input.ConversationIds,Answer.accuracy,Answer.age,Answer.comment,Answer.discreet,Answer.effectiveness,Answer.efficiency,Answer.explanation,Answer.gender,Answer.intentuse,Answer.literacy,Answer.response-1,Answer.response-10,Answer.response-11,Answer.response-12,Answer.response-13,Answer.response-14,Answer.response-15,Answer.response-2,Answer.response-3,Answer.response-4,Answer.response-5,Answer.response-6,Answer.response-7,Answer.response-8,Answer.response-9,Answer.satisfaction,Answer.transparency,Answer.trust,Answer.useful,Approve,Reject
3TVSS0C0E2WZH9B7RI4C7NXJJHDTWG,A3PYFNAED6X1BL,0,0.6,"[1,0,1,0,1,1,1,0,1,1,1,0,1,0,1]","[7,2,11,9,10,5,6,4,1,13,3,14,15,8,12]",disagree,26-35,The emotion assistance did not interpret some of these messages like I would.,disagree,strongdisagree,strongdisagree,disagree,female,strongdisagree,native,Right...I'll be home as soon as work is finished. Hang in there!,"Well...than the umbrella probably wouldn't have helped, right?","They'll be fine. Again, really sorry!",I've kind of got a lot on my mind recently.,What do you want to do?,Ok. See you then.,Is there anything I can do to help?,"Sorry. If you're there, would you mind taking it out?",What'd he do today?,"Wasn't me, man.",I don't know what to tell you...,Sorry. I was just trying to make a joke about you being a fashion leader or something...guess that didn't work too well.,Oh. Hell. I'm really sorry to hear that.,I'm catching an uber. Be there soon.,"Sorry, I didn't see your message immediately. What did you need?",strongdisagree,agree,strongdisagree,strongdisagree,,
3X31TUMD7YIIXVNZLLD0S6X8TRAL1Y,A2P53AN2M8IWFP,0,0.7,"[1,0,1,0,0,0,1,1,1,1,1,0,1,1,1]","[11,13,15,14,2,9,4,3,7,5,10,8,6,12,1]",neutral,26-35,"I answered thoughtfully, good luck!",neutral,disagree,strongdisagree,disagree,male,neutral,native,"Ok, we'll let me know if you want me home.","Haha, it happens.",If they are cold you can heat them up.,"Yes I am fine, never mind I will go.",So who will be left out?,"Great, I will call then.","Good look, I know that is a pain.",It won't happen again.,Just ignore them.,Wasn't me!,We should meet and talk.,"I am just joking, no harm meant.","I am so sorry, I am sure I will be next.",UBER OR BUS?,"Yes, what do you need?",neutral,agree,strongdisagree,disagree,,
3TE3O8573140PE0899AAJ1GCRPE2RN,A1USR9JCAMDGM3,0,0.8,"[1,1,0,0,1,1,1,1,1,1,0,1,0,1,0]","[11,5,8,13,15,1,3,6,4,7,14,10,12,2,9]",strongagree,26-35,Thank you,strongagree,strongagree,agree,neutral,other,strongagree,native,Roger that.  I'll be prepared.,"That really sucks, sorry that happened to you.",They won't bro.  I'm almost there.,I'm okay.  Just don't really feel like being around people.,Yes it is.  Any advice on what I should do?,Okay.  Talk to you at 2.,That's good.  I hope you find it.,Sorry Mom.  I'll remember next time.,"He's a jerk, you should start looking for a new job.",That sucks bro.,You should break up with him before he breaks up with you.,You are forgiven.  Next time we can go together.,I'm so sorry to hear that Paula.,You are not help at all.  Guess I'll uber.,What's up?  I'm here to help.,neutral,strongagree,strongagree,agree,,
3SKEMFQBZ41POPP2Z6AESG71IXG8K7,AK3H5QRAROFGP,0,0.9,"[1,1,1,0,0,1,1,1,1,0,0,1,1,0,1]","[6,1,3,13,12,15,8,7,10,9,14,4,5,11,2]",strongagree,26-35,{},strongagree,agree,agree,disagree,male,agree,native,"Why, what's going on?!","Wow, that's awful. People can be so inconsiderate.",Lol you have a microwave.,"Yeah, I'm fine really. I do appreciate your concern.","Yeah, any ideas on a solution?","Ok, I'll call you at 2 then.","That's a good idea. I know it's a hassle, but it will be alright.","I'm sorry Mom, I'll take care of it.",What did he do this time?,Well I certainly didn't tell her. That's insane though.,Do you want to try to save the relationship?,"I'm sorry Jess, I didn't mean it like that","Oh no Paula, I'm so sorry. I'm here for you if you'd like to talk.",What's wrong Sarah?,"Sure Jeremy, what's up?",agree,neutral,agree,agree,,
3EA3QWIZ4JRHGER2210X6WOB469ITS,A25N0K40JAZTN1,0,0.6,"[1,1,0,1,1,0,1,1,1,1,1,0,1,0,0]","[3,15,8,1,13,2,7,12,10,5,11,9,6,4,14]",neutral,46-55,Thank you.,agree,disagree,disagree,neutral,male,disagree,native,I'm what? What do you mean it's a warzone?,"Well, an umbrella wouldn't have helped there! lol","Yeah, no worries. Unless I eat them all on the way :p","I'm okay, just don't feel like hanging out most nights because I'm tired from work.",Since you seem angry about it I'll just not go.,"Okay, 2 pm it is then.","That sucks, it's always a hassle when you lose your wallet.",I'm sorry Mom. I'll be there to clean up the mess and take out the trash.,"Welp, I think it's time for you to start looking for a new job. Either that or find a way to deal with your current boss!","Well, it wasn't me. You know I'm not like that. Come on!","Just break up with him first, beat him to it.",You are forgiven my child. Now apologize for calling me a stalker!,"Nah, not lucky. I have seniority is why I didn't get laid off.","What do you mean "K"? What kind of an answer it that?""hat do you mean "K"? What kind of a""at do you mean "K"""t ","Hey sorry, I was in the bathroom. What do you need help with?",neutral,disagree,neutral,disagree,,
33M4IA01QHX1QU35XYV39RA84YEXRS,A12723JDRPT207,0,0.7,"[0,0,1,0,1,1,1,1,0,1,1,0,1,1,1]","[8,13,4,9,15,12,1,7,14,11,6,2,10,5,3]",agree,18-25,no,disagree,disagree,disagree,neutral,female,disagree,native,Its ok. Just get the kids taken care of and do what you can. Love you.,Oh no! Never walk near puddles! lol,Im going as fast as I can.,"Yea, just alot on my plate right now.","Im not sure what to do, We all want to go but I couldnt get enough.","Ok Ill give you a call then,","Man that sucks,  its gonna take a min to get replacements.","Im sorry Mom, was running late.","Money is good, gotta keep trucking on chica",I didnt say a word I swear.,Atleast you know ahead of time and you are not bllind sided. Call me if you need to talk,We all need a little coffee now and then,Im soo sorry.  Did they save why?,"What do you think, Bus or uber?","Sorry, phone was on the charger, whats up",agree,neutral,disagree,neutral,,
3DYGAII7PM4W5KMEYSWMAOE06D3QPW,A2QQFGD7K7AHK8,0,0.8,"[1,1,1,1,0,1,0,1,0,0,1,1,0,1,1]","[6,15,1,3,14,7,12,11,9,13,2,10,8,5,4]",neutral,26-35,{},neutral,neutral,neutral,neutral,male,agree,native,So does that mean you're in or out?,That really sucks.,If they are you have to eat them regardless. Be grateful you asshole.,Yes I'm fine. I just don't feel like doing anything.,I'm not sure what to do.,Sounds good. Talk to you soon.,I hope you find it. That sucks.,Sorry.,Start looking for a new job. I'll help!!,Well I'm not sure what to tell you man.,Drink tonight on me?,You devil girl!!!!,Sorry to hear that.,Uber or bus?,"Yes, sorry. Whats up?",neutral,agree,neutral,neutral,,
3UOUJI6MTEAT6MVM1SQ8E2XSBXIXUW,A1P6OXEJ86HQRM,0,0.9,"[0,1,1,1,1,1,1,0,1,1,0,0,0,1,1]","[13,7,6,3,15,8,2,12,1,10,11,9,14,4,5]",agree,26-35,{},agree,strongdisagree,strongdisagree,disagree,male,strongdisagree,native,Ten four.,What luck!,They'll be edible. That's all I'll promise.,I'll be fine.,Yeah. What do you think we should do?,Alright. Talk to you then.,Lemme know if I can help.,I'll remember next time.,What'd he do this time?,"Sorry, John. It wasn't me though.",You wanna talk about it?,I'm sorry. I didn't mean to be judgmental.,I'm so sorry to hear that. I didn't know.,I'll be there soon.,Tell me what you need.,disagree,neutral,neutral,strongdisagree,,
3Y4W8Q93L0GFLVF5FIZ1GHWJ9MFVDH,A1WOV2JIV5I9VE,0,0.6,"[0,1,1,1,1,1,0,1,1,0,1,0,1,0,1]","[9,7,11,6,3,10,2,13,1,4,15,8,5,14,12]",neutral,18-25,{},agree,disagree,disagree,agree,female,neutral,native,"uh oh, i can't wait to see",I hate when that happens,Hahah wait and see what happens,I just haven't been feeling myself.,"yeah, guess we have to figure it out",I will wait for your call,thats great,"i said i was sorry, it slipped my mind",have you tried looking for a new job?,"Wasn't me man, Thats not my place","Confront him first, he can not get away with that","geez, calm down",I am so sorry.,guess i won't be on my way.,What can i help you with?,agree,agree,agree,agree,,
3YMTUJH0DTCN87SNHCYTCVESZPL4TE,AOTCPS24JM5DQ,0,0.7,"[1,0,0,1,1,1,0,1,0,1,1,1,0,1,1]","[15,8,13,6,3,5,14,11,9,4,12,1,2,10,7]",neutral,18-25,{},neutral,agree,agree,neutral,male,agree,native,Okay thats okay i will see you soon !,Oh no ! next time watch out for that lol,They wont be cold i promise !,Im okay im just taking a mid life break right now and evaluating things,Sorry maybe we can keep searching for more tickets,Okay i will call you soon!,Its okay dont worry about it.  I hope that you find your wallet :(,Im sorry i promise i will take it out more often,I think you should really start looking for a new job,I did not tell her im sorry she found out,I think you should wait it out maybe he wont break up with you,Its okay just keep trying you will give it up soon !,Im sorry to hear that :/ i can help you look for jobs today,Okay that really helps out ..,Hey im here to help whats up,agree,agree,neutral,neutral,,
