ResponseId,Response,J_WorkerId,J_Gender,J_Literacy,J_Age,Empathy,R_WorkerId,R_Gender,R_Literacy,R_Age,Treatment,ConversationId,Precision,,,,,,,,,,,,,,,,,,,,,0
3ZSANO2JCG3WRNCXCTPMTUFXMVAFSG,You are forgiven my child.,A2T5DC2TXEEMBV,male,profession,18-25,slightly,A3SG23IVI6PS0L,female,native,26-35,1,6,0.7,,,,,,,,,,,,,,,,,,,,,
3ZSANO2JCG3WRNCXCTPMTUFXMVAFSG,You are forgiven my child.,A1Z6F6EIUJFC6T,male,native,26-35,very,A3SG23IVI6PS0L,female,native,26-35,1,6,0.7,,,,,,,,,,,,,,,,,,,,,
3ZSANO2JCG3WRNCXCTPMTUFXMVAFSG,You are forgiven my child.,ACDX50KGPE97I,male,native,26-35,moderately,A3SG23IVI6PS0L,female,native,26-35,1,6,0.7,,,,,,,,,,,,,,,,,,,,,
3TVSS0C0E2WZH9B7RI4C7NXJJHDTWG,Right...I'll be home as soon as work is finished. Hang in there!,APEB5ERGCYP6D,male,profession,18-25,moderately,A3PYFNAED6X1BL,female,native,26-35,1,1,0.6,,,,,,,,,,,,,,,,,,,,,
3TVSS0C0E2WZH9B7RI4C7NXJJHDTWG,Right...I'll be home as soon as work is finished. Hang in there!,ASZFG2YOQA71C,male,native,18-25,very,A3PYFNAED6X1BL,female,native,26-35,1,1,0.6,,,,,,,,,,,,,,,,,,,,,
3TVSS0C0E2WZH9B7RI4C7NXJJHDTWG,Right...I'll be home as soon as work is finished. Hang in there!,AXKV2UQ5HEG29,male,native,26-35,extremely,A3PYFNAED6X1BL,female,native,26-35,1,1,0.6,,,,,,,,,,,,,,,,,,,,,
3TVSS0C0E2WZH9B7RI4C7NXJJHDTWG,"Sorry. If you're there, would you mind taking it out?",A1XSX19SIQ9U4W,female,native,56-65,none,A3PYFNAED6X1BL,female,native,26-35,0,2,0.6,,,,,,,,,,,,,,,,,,,,,
3TVSS0C0E2WZH9B7RI4C7NXJJHDTWG,"Sorry. If you're there, would you mind taking it out?",A1OSRB1Q63XXWZ,female,native,56-65,slightly,A3PYFNAED6X1BL,female,native,26-35,0,2,0.6,,,,,,,,,,,,,,,,,,,,,
3TVSS0C0E2WZH9B7RI4C7NXJJHDTWG,"Sorry. If you're there, would you mind taking it out?",APEB5ERGCYP6D,male,profession,26-35,moderately,A3PYFNAED6X1BL,female,native,26-35,0,2,0.6,,,,,,,,,,,,,,,,,,,,,
3TVSS0C0E2WZH9B7RI4C7NXJJHDTWG,What'd he do today?,AHLS6AZ1VTNH7,male,native,26-35,slightly,A3PYFNAED6X1BL,female,native,26-35,1,3,0.6,,,,,,,,,,,,,,,,,,,,,
3TVSS0C0E2WZH9B7RI4C7NXJJHDTWG,What'd he do today?,A1V9MN88VQ1LEB,male,profession,26-35,very,A3PYFNAED6X1BL,female,native,26-35,1,3,0.6,,,,,,,,,,,,,,,,,,,,,
3TVSS0C0E2WZH9B7RI4C7NXJJHDTWG,What'd he do today?,APEB5ERGCYP6D,male,profession,26-35,moderately,A3PYFNAED6X1BL,female,native,26-35,1,3,0.6,,,,,,,,,,,,,,,,,,,,,
3TVSS0C0E2WZH9B7RI4C7NXJJHDTWG,"Wasn't me, man.",A3PJ51GS2AKBO6,male,native,26-35,slightly,A3PYFNAED6X1BL,female,native,26-35,0,4,0.6,,,,,,,,,,,,,,,,,,,,,
3TVSS0C0E2WZH9B7RI4C7NXJJHDTWG,"Wasn't me, man.",AS7IGPU2RHT6I,female,native,26-35,moderately,A3PYFNAED6X1BL,female,native,26-35,0,4,0.6,,,,,,,,,,,,,,,,,,,,,
3TVSS0C0E2WZH9B7RI4C7NXJJHDTWG,"Wasn't me, man.",A1VUPS40S92LHD,female,native,26-35,slightly,A3PYFNAED6X1BL,female,native,26-35,0,4,0.6,,,,,,,,,,,,,,,,,,,,,
3ZSANO2JCG3WRNCXCTPMTUFXMVAFSG,I am so sorry.,A2314OA8ZBDRTV,male,native,26-35,slightly,A3SG23IVI6PS0L,female,native,26-35,0,2,0.7,,,,,,,,,,,,,,,,,,,,,
3ZSANO2JCG3WRNCXCTPMTUFXMVAFSG,I am so sorry.,A19CKDMMK8Z6QC,male,native,18-25,slightly,A3SG23IVI6PS0L,female,native,26-35,0,2,0.7,,,,,,,,,,,,,,,,,,,,,
3ZSANO2JCG3WRNCXCTPMTUFXMVAFSG,I am so sorry.,APEB5ERGCYP6D,male,profession,26-35,moderately,A3SG23IVI6PS0L,female,native,26-35,0,2,0.7,,,,,,,,,,,,,,,,,,,,,
3ZSANO2JCG3WRNCXCTPMTUFXMVAFSG,K. is not an answer.,AM0WOQRVW5NSI,male,native,36-45,slightly,A3SG23IVI6PS0L,female,native,26-35,0,8,0.7,,,,,,,,,,,,,,,,,,,,,
3ZSANO2JCG3WRNCXCTPMTUFXMVAFSG,K. is not an answer.,A3ERAC9ADCIAOW,male,native,18-25,none,A3SG23IVI6PS0L,female,native,26-35,0,8,0.7,,,,,,,,,,,,,,,,,,,,,
3ZSANO2JCG3WRNCXCTPMTUFXMVAFSG,K. is not an answer.,A1T02KY1E9YI3I,male,profession,26-35,slightly,A3SG23IVI6PS0L,female,native,26-35,0,8,0.7,,,,,,,,,,,,,,,,,,,,,
3ZSANO2JCG3WRNCXCTPMTUFXMVAFSG,I would be happy to help you.,APEB5ERGCYP6D,male,profession,26-35,moderately,A3SG23IVI6PS0L,female,native,26-35,0,9,0.7,,,,,,,,,,,,,,,,,,,,,
3ZSANO2JCG3WRNCXCTPMTUFXMVAFSG,I would be happy to help you.,ASZFG2YOQA71C,male,native,18-25,very,A3SG23IVI6PS0L,female,native,26-35,0,9,0.7,,,,,,,,,,,,,,,,,,,,,
3ZSANO2JCG3WRNCXCTPMTUFXMVAFSG,I would be happy to help you.,AKXY2ATEM5DC2,male,native,36-45,very,A3SG23IVI6PS0L,female,native,26-35,0,9,0.7,,,,,,,,,,,,,,,,,,,,,
3TVSS0C0E2WZH9B7RI4C7NXJJHDTWG,I don't know what to tell you...,A1XCX1KI3XRPRZ,female,profession,18-25,slightly,A3PYFNAED6X1BL,female,native,26-35,1,5,0.6,,,,,,,,,,,,,,,,,,,,,
