"TaskType","Confidence","TreatmentType","ConversationId","ResponseId","Response"
1,"HighLow",2,1,"3137ONMDKH11V43AMIBZMYBUMRSGEM","Drinking can wait, I'll be home soon."
1,"HighLow",2,2,"3137ONMDKH11V43AMIBZMYBUMRSGEM","Sorry, I'm doing it right now."
1,"HighLow",2,3,"3137ONMDKH11V43AMIBZMYBUMRSGEM","Damn, sorry that's happening, if you need anything, let me know."
1,"HighLow",2,4,"3137ONMDKH11V43AMIBZMYBUMRSGEM","Nah, dude, wasn't me. Sorry that happened though."
1,"HighLow",2,5,"3137ONMDKH11V43AMIBZMYBUMRSGEM","Break up with him first, the day before Valentines, ruin his plan."
1,"HighLow",3,6,"3137ONMDKH11V43AMIBZMYBUMRSGEM","You're good, I was just curious if it was you!"
1,"HighLow",3,7,"3137ONMDKH11V43AMIBZMYBUMRSGEM","I'm so sorry that happened, I had no idea."
1,"HighLow",3,8,"3137ONMDKH11V43AMIBZMYBUMRSGEM","Sorry, do you still want me to come...?"
1,"HighLow",3,9,"3137ONMDKH11V43AMIBZMYBUMRSGEM","What's up, sorry I was asleep."
1,"HighLow",3,10,"3137ONMDKH11V43AMIBZMYBUMRSGEM","People are jerks, if you need a ride or something let me know."
1,"HighLow",0,11,"3137ONMDKH11V43AMIBZMYBUMRSGEM","Nah dude, don't worry, they're warm."
1,"HighLow",0,12,"3137ONMDKH11V43AMIBZMYBUMRSGEM","Yeah I'm fine, it's not you, I just need some alone time. I'll let you know if I change my mind."
1,"HighLow",0,13,"3137ONMDKH11V43AMIBZMYBUMRSGEM","Yeah, I don't know what I'm going to do."
1,"HighLow",0,14,"3137ONMDKH11V43AMIBZMYBUMRSGEM","Always here for you man!"
1,"HighLow",0,15,"3137ONMDKH11V43AMIBZMYBUMRSGEM","Ah, that sucks. I hope you can at least get your wallet back, hopefully your money is still in there."
1,"Default",1,1,"3WS1NTTKEZ8WQESL3R62JO9ERBIF00","Oh wow, what should I expect then?"
1,"Default",1,2,"3WS1NTTKEZ8WQESL3R62JO9ERBIF00","I am so sorry mom, I forgot!"
1,"Default",1,3,"3WS1NTTKEZ8WQESL3R62JO9ERBIF00","Just take some deep breaths, what did he do this time?"
1,"Default",1,4,"3WS1NTTKEZ8WQESL3R62JO9ERBIF00","Well it wasn't me."
1,"Default",1,5,"3WS1NTTKEZ8WQESL3R62JO9ERBIF00","Don't worry, you deserve better anyways."
1,"Default",1,6,"3WS1NTTKEZ8WQESL3R62JO9ERBIF00","I am not here to judge, just an observation."
1,"Default",1,7,"3WS1NTTKEZ8WQESL3R62JO9ERBIF00","I am so sorry to hear that."
1,"Default",1,8,"3WS1NTTKEZ8WQESL3R62JO9ERBIF00","What's wrong?"
1,"Default",1,9,"3WS1NTTKEZ8WQESL3R62JO9ERBIF00","Yeah sorry, what do you need?"
1,"Default",1,10,"3WS1NTTKEZ8WQESL3R62JO9ERBIF00","Oh wow, what a jerk!"
