ResponseId,Response,J_WorkerId,J_Gender,J_Literacy,J_Age,Empathy,R_WorkerId,R_Gender,R_Literacy,R_Age,Treatment,ConversationId,Confidence,R_Discreet,R_Effectiveness,R_Efficiency,R_Explanation,R_Intentuse,R_Satisfaction,R_Transparency,R_Trust,R_Useful,,,,,,,,,,,,0
3COPXFW7XC8AUHOJLNCPE22R7K5KPI,Didn't mean it that way! lol  I knew it was you!  Now we can do coffee again!,A24RQ4RYIXXRZU,female,native,46-55,moderately,APUPF3D94XYUQ,female,native,36-45,0,6,HighOnly,agree,agree,agree,disagree,agree,agree,agree,agree,agree,,,,,,,,,,,,
3COPXFW7XC8AUHOJLNCPE22R7K5KPI,Didn't mean it that way! lol  I knew it was you!  Now we can do coffee again!,A2BPIBU0SVM23,male,native,18-25,slightly,APUPF3D94XYUQ,female,native,36-45,0,6,HighOnly,agree,agree,agree,disagree,agree,agree,agree,agree,agree,,,,,,,,,,,,
3COPXFW7XC8AUHOJLNCPE22R7K5KPI,Didn't mean it that way! lol  I knew it was you!  Now we can do coffee again!,A3GNQDFPZALU92,male,native,26-35,moderately,APUPF3D94XYUQ,female,native,36-45,0,6,HighOnly,agree,agree,agree,disagree,agree,agree,agree,agree,agree,,,,,,,,,,,,
3COPXFW7XC8AUHOJLNCPE22R7K5KPI,OMG!  That sucks! I'm sorry :(,A1QSTGFG23OZHT,female,native,18-25,moderately,APUPF3D94XYUQ,female,native,36-45,0,7,HighOnly,agree,agree,agree,disagree,agree,agree,agree,agree,agree,,,,,,,,,,,,
3COPXFW7XC8AUHOJLNCPE22R7K5KPI,OMG!  That sucks! I'm sorry :(,A12EQIULBHM4HJ,female,native,26-35,very,APUPF3D94XYUQ,female,native,36-45,0,7,HighOnly,agree,agree,agree,disagree,agree,agree,agree,agree,agree,,,,,,,,,,,,
3COPXFW7XC8AUHOJLNCPE22R7K5KPI,OMG!  That sucks! I'm sorry :(,A17HFDRWYZL1CD,male,native,18-25,moderately,APUPF3D94XYUQ,female,native,36-45,0,7,HighOnly,agree,agree,agree,disagree,agree,agree,agree,agree,agree,,,,,,,,,,,,
3COPXFW7XC8AUHOJLNCPE22R7K5KPI,Sorry :(,A19LVWX8ZLO6CS,male,native,36-45,extremely,APUPF3D94XYUQ,female,native,36-45,0,8,HighOnly,agree,agree,agree,disagree,agree,agree,agree,agree,agree,,,,,,,,,,,,
3COPXFW7XC8AUHOJLNCPE22R7K5KPI,Sorry :(,A1XQ7Y5CBAS43K,female,native,36-45,slightly,APUPF3D94XYUQ,female,native,36-45,0,8,HighOnly,agree,agree,agree,disagree,agree,agree,agree,agree,agree,,,,,,,,,,,,
3COPXFW7XC8AUHOJLNCPE22R7K5KPI,Sorry :(,A17HFDRWYZL1CD,male,native,18-25,moderately,APUPF3D94XYUQ,female,native,36-45,0,8,HighOnly,agree,agree,agree,disagree,agree,agree,agree,agree,agree,,,,,,,,,,,,
3COPXFW7XC8AUHOJLNCPE22R7K5KPI,Absolutely - what's going on?,AC4QN4N0PY7YF,male,native,26-35,very,APUPF3D94XYUQ,female,native,36-45,0,9,HighOnly,agree,agree,agree,disagree,agree,agree,agree,agree,agree,,,,,,,,,,,,
