"ResponseId","Response","J_WorkerId","J_Gender","J_Literacy","J_Age","Empathy","R_WorkerId","R_Gender","R_Literacy","R_Age","Treatment","ConversationId","Confidence","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8","X.9","X.10","X.11","X.12","X.13","X.14","X.15","X.16","X.17","X.18","X.19","X0","Round"
"1","3COPXFW7XC8AUHOJLNCPE22R7K5KPI","Didn't mean it that way! lol  I knew it was you!  Now we can do coffee again!","A24RQ4RYIXXRZU","female","native","46-55",2,"APUPF3D94XYUQ","female","native","36-45","0","6","HighOnly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"2","3COPXFW7XC8AUHOJLNCPE22R7K5KPI","Didn't mean it that way! lol  I knew it was you!  Now we can do coffee again!","A2BPIBU0SVM23","male","native","18-25",4,"APUPF3D94XYUQ","female","native","36-45","0","6","HighOnly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"3","3COPXFW7XC8AUHOJLNCPE22R7K5KPI","Didn't mean it that way! lol  I knew it was you!  Now we can do coffee again!","A3GNQDFPZALU92","male","native","26-35",2,"APUPF3D94XYUQ","female","native","36-45","0","6","HighOnly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"4","3COPXFW7XC8AUHOJLNCPE22R7K5KPI","OMG!  That sucks! I'm sorry :(","A1QSTGFG23OZHT","female","native","18-25",2,"APUPF3D94XYUQ","female","native","36-45","0","7","HighOnly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"5","3COPXFW7XC8AUHOJLNCPE22R7K5KPI","OMG!  That sucks! I'm sorry :(","A12EQIULBHM4HJ","female","native","26-35",5,"APUPF3D94XYUQ","female","native","36-45","0","7","HighOnly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"6","3COPXFW7XC8AUHOJLNCPE22R7K5KPI","OMG!  That sucks! I'm sorry :(","A17HFDRWYZL1CD","male","native","18-25",2,"APUPF3D94XYUQ","female","native","36-45","0","7","HighOnly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"7","3COPXFW7XC8AUHOJLNCPE22R7K5KPI","Sorry :(","A19LVWX8ZLO6CS","male","native","36-45",1,"APUPF3D94XYUQ","female","native","36-45","0","8","HighOnly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"8","3COPXFW7XC8AUHOJLNCPE22R7K5KPI","Sorry :(","A1XQ7Y5CBAS43K","female","native","36-45",4,"APUPF3D94XYUQ","female","native","36-45","0","8","HighOnly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"9","3COPXFW7XC8AUHOJLNCPE22R7K5KPI","Sorry :(","A17HFDRWYZL1CD","male","native","18-25",2,"APUPF3D94XYUQ","female","native","36-45","0","8","HighOnly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"10","3COPXFW7XC8AUHOJLNCPE22R7K5KPI","Absolutely - what's going on?","AC4QN4N0PY7YF","male","native","26-35",5,"APUPF3D94XYUQ","female","native","36-45","0","9","HighOnly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
