"Empathy","Treatment","Round"
"1",FALSE,"0",1
"2",FALSE,"0",1
"3",TRUE,"0",1
"4",TRUE,"0",1
"5",FALSE,"0",1
"6",TRUE,"0",1
"7",FALSE,"0",1
"8",FALSE,"0",1
"9",FALSE,"0",1
"10",TRUE,"0",1
"11",FALSE,"0",1
"12",FALSE,"0",1
"13",FALSE,"0",1
"14",FALSE,"0",1
"15",FALSE,"0",1
"16",FALSE,"0",1
"17",FALSE,"0",1
"18",FALSE,"0",1
"19",FALSE,"0",1
"20",FALSE,"0",1
"21",FALSE,"0",1
"22",FALSE,"0",1
"23",FALSE,"0",1
"24",FALSE,"0",1
"25",FALSE,"0",1
"26",FALSE,"0",1
"27",FALSE,"0",1
"28",FALSE,"0",1
"29",FALSE,"0",1
"30",FALSE,"0",1
"31",FALSE,"1",1
"32",TRUE,"1",1
"33",FALSE,"1",1
"34",TRUE,"1",1
"35",FALSE,"1",1
"36",FALSE,"1",1
"37",TRUE,"1",1
"38",TRUE,"1",1
"39",FALSE,"1",1
"40",FALSE,"1",1
"41",TRUE,"1",1
"42",FALSE,"1",1
"43",TRUE,"1",1
"44",FALSE,"1",1
"45",FALSE,"1",1
"46",FALSE,"1",1
"47",TRUE,"1",1
"48",FALSE,"1",1
"49",FALSE,"1",1
"50",FALSE,"1",1
"51",FALSE,"1",1
"52",TRUE,"1",1
"53",TRUE,"1",1
"54",FALSE,"1",1
"55",TRUE,"1",1
"56",TRUE,"1",1
"57",FALSE,"1",1
"58",FALSE,"1",1
"59",FALSE,"1",1
"60",FALSE,"1",1
"61",TRUE,"0",1
"62",FALSE,"0",1
"63",FALSE,"0",1
"64",FALSE,"0",1
"65",FALSE,"0",1
"66",TRUE,"0",1
"67",TRUE,"0",1
"68",FALSE,"0",1
"69",FALSE,"0",1
"70",TRUE,"0",1
"71",FALSE,"0",1
"72",FALSE,"0",1
"73",FALSE,"0",1
"74",FALSE,"0",1
"75",FALSE,"0",1
"76",FALSE,"0",1
"77",FALSE,"0",1
"78",FALSE,"0",1
"79",FALSE,"0",1
"80",FALSE,"0",1
"81",TRUE,"0",1
"82",TRUE,"0",1
"83",TRUE,"0",1
"84",FALSE,"0",1
"85",FALSE,"0",1
"86",FALSE,"0",1
"87",TRUE,"0",1
"88",FALSE,"0",1
"89",FALSE,"0",1
"90",FALSE,"0",1
"91",FALSE,"1",1
"92",FALSE,"1",1
"93",FALSE,"1",1
"94",TRUE,"1",1
"95",FALSE,"1",1
"96",FALSE,"1",1
"97",FALSE,"1",1
"98",FALSE,"1",1
"99",FALSE,"1",1
"100",TRUE,"1",1
"101",TRUE,"1",1
"102",FALSE,"1",1
"103",FALSE,"1",1
"104",FALSE,"1",1
"105",FALSE,"1",1
"106",FALSE,"1",1
"107",FALSE,"1",1
"108",TRUE,"1",1
"109",FALSE,"1",1
"110",FALSE,"1",1
"111",FALSE,"1",1
"112",TRUE,"1",1
"113",FALSE,"1",1
"114",FALSE,"1",1
"115",FALSE,"1",1
"116",FALSE,"1",1
"117",FALSE,"1",1
"118",FALSE,"1",1
"119",FALSE,"1",1
"120",TRUE,"1",1
"121",FALSE,"0",1
"122",FALSE,"0",1
"123",FALSE,"0",1
"124",FALSE,"0",1
"125",FALSE,"0",1
"126",FALSE,"0",1
"127",FALSE,"0",1
"128",TRUE,"0",1
"129",FALSE,"0",1
"130",FALSE,"0",1
"131",FALSE,"0",1
"132",FALSE,"0",1
"133",FALSE,"0",1
"134",FALSE,"0",1
"135",FALSE,"0",1
"136",FALSE,"0",1
"137",FALSE,"0",1
"138",FALSE,"0",1
"139",FALSE,"0",1
"140",FALSE,"0",1
"141",TRUE,"0",1
"142",TRUE,"0",1
"143",FALSE,"0",1
"144",FALSE,"0",1
"145",FALSE,"0",1
"146",FALSE,"0",1
"147",FALSE,"0",1
"148",FALSE,"0",1
"149",TRUE,"0",1
"150",TRUE,"0",1
"151",FALSE,"1",1
"152",FALSE,"1",1
"153",FALSE,"1",1
"154",FALSE,"1",1
"155",FALSE,"1",1
"156",TRUE,"1",1
"157",FALSE,"1",1
"158",FALSE,"1",1
"159",FALSE,"1",1
"160",FALSE,"1",1
"161",TRUE,"1",1
"162",FALSE,"1",1
"163",TRUE,"1",1
"164",FALSE,"1",1
"165",FALSE,"1",1
"166",FALSE,"1",1
"167",FALSE,"1",1
"168",FALSE,"1",1
"169",FALSE,"1",1
"170",TRUE,"1",1
"171",FALSE,"1",1
"172",TRUE,"1",1
"173",TRUE,"1",1
"174",FALSE,"1",1
"175",FALSE,"1",1
"176",FALSE,"1",1
"177",FALSE,"1",1
"178",FALSE,"1",1
"179",FALSE,"1",1
"180",FALSE,"1",1
"181",TRUE,"0",1
"182",FALSE,"0",1
"183",FALSE,"0",1
"184",FALSE,"0",1
"185",TRUE,"0",1
"186",FALSE,"0",1
"187",FALSE,"0",1
"188",FALSE,"0",1
"189",FALSE,"0",1
"190",TRUE,"0",1
"191",FALSE,"0",1
"192",FALSE,"0",1
"193",FALSE,"0",1
"194",FALSE,"0",1
"195",FALSE,"0",1
"196",FALSE,"0",1
"197",FALSE,"0",1
"198",FALSE,"0",1
"199",FALSE,"0",1
"200",FALSE,"0",1
"201",FALSE,"0",1
"202",FALSE,"0",1
"203",FALSE,"0",1
"204",FALSE,"0",1
"205",FALSE,"0",1
"206",FALSE,"0",1
"207",FALSE,"0",1
"208",TRUE,"0",1
"209",FALSE,"0",1
"210",FALSE,"0",1
"211",FALSE,"1",1
"212",FALSE,"1",1
"213",FALSE,"1",1
"214",TRUE,"1",1
