"ResponseId","Precision","R_Satisfaction","R_Trust","R_Useful","Empathy"
"1","3TVSS0C0E2WZH9B7RI4C7NXJJHDTWG","0.6",1,1,1,0.111111111111111
"2","3ZDAD0O1T29E69GX1N0Y96BQSJBXT5","0.6",1,1,1,0.0888888888888889
"3","3J4Q2Z4UTZZMPTJFAEAH2IMWZA6QWR","0.9",1,1,1,0.0888888888888889
"4","3UOUJI6MTEAT6MVM1SQ8E2XSBXIXUW","0.9",2,3,1,0.111111111111111
"5","3G5F9DBFOQTWXBK71EIR72BH1E8HVC","0.8",4,4,1,0.155555555555556
"6","32UTUBMZ7HSM6YHL1M8VLR8J613VBA","0.7",3,1,2,0.133333333333333
"7","3X31TUMD7YIIXVNZLLD0S6X8TRAL1Y","0.7",3,1,2,0.0444444444444444
"8","3IFS6Q0HJJFG1EEND1V7WRSP2NTSIB","0.9",1,2,2,0.0666666666666667
"9","336KAV9KYRO9MFCUN424RX99UCT2YP","0.8",2,2,2,0.111111111111111
"10","3A1COHJ8NKRYMZOUTL7HFOR9QGAH8A","0.9",2,2,2,0.0666666666666667
"11","3EFE17QCRD1G5J337JDMWFRA2AESHI","0.8",3,2,2,0.0222222222222222
"12","3HSYG7LRBKU9JQR38V7HILGSDXDKK5","0.6",4,2,2,0.0222222222222222
"13","3EA3QWIZ4JRHGER2210X6WOB469ITS","0.6",3,3,2,0.0714285714285714
"14","3X87C8JFV77TIC26Q90G5TJBTXAQSC","0.8",3,3,2,0.0222222222222222
"15","3ZPBJO59KQXA3UKLATIX1G5A17DDHI","0.7",3,4,2,0.0222222222222222
"16","3ZSANO2JCG3WRNCXCTPMTUFXMVAFSG","0.7",4,4,2,0.0888888888888889
"17","3ZY8KE4ISKZ9A4JAK45LGG3IS14QVH","0.9",2,2,3,0.155555555555556
"18","3VBEN272MLV25N8SNDV4BFF9NA1SGJ","0.8",3,2,3,0.0888888888888889
"19","33M4IA01QHX1QU35XYV39RA84YEXRS","0.7",4,2,3,0.111111111111111
"20","38F5OAUN5O8UMLJBJGFB1OVEFW47HD","0.9",4,2,3,0.266666666666667
"21","3SKEMFQBZ41POPP2Z6AESG71IXC8K3","0.7",3,3,3,0.0222222222222222
"22","3DYGAII7PM4W5KMEYSWMAOE06D3QPW","0.8",3,3,3,0.0444444444444444
"23","3YMTUJH0DTCN87SNHCYTCVESZPL4TE","0.7",4,3,3,0.0666666666666667
"24","3ITXP059PXFCWPYTVJG78S7PF2ISJN","0.8",4,2,4,0.125
"25","39JEC7537VX5G39RFM4QWBE1OM3VCH","0.6",4,3,4,0.0222222222222222
"26","3PJ71Z61R5YNWTMQWOAANX6DTXU91Q","0.7",4,3,4,0
"27","3TAYZSBPLM4CQT0LOYAF9BL8DRX2SB","0.8",4,3,4,0.0444444444444444
"28","3WYGZ5XF3XB7794BD4GJ9772URISKM","0.9",4,3,4,0.0666666666666667
"29","3P59JYT76MGD5TD0DYF5JGHUFAB2T0","0.6",3,4,4,0.0444444444444444
"30","3HQUKB7LNGARFAPNWP1NS1K8TZ2HHR","0.6",4,4,4,0.266666666666667
"31","3Y4W8Q93L0GFLVF5FIZ1GHWJ9MFVDH","0.6",4,4,4,0
"32","3SKEMFQBZ41POPP2Z6AESG71IXG8K7","0.9",4,4,4,0.133333333333333
"33","3EWIJTFFVP34K0SP8GMW16OEF240EO","0.7",5,4,4,0.155555555555556
"34","3KGTPGBS6YHS56SPD35FOC3WYOI2UR","0.7",5,4,4,0.0222222222222222
"35","3FE7TXL1LJJ0DDL8WULAEB67V3C2QM","0.9",5,4,4,0.0666666666666667
"36","3U8YCDAGXQCTH3IUH7HWVNDSY5S0Q0","0.6",3,5,4,0.0434782608695652
"37","3TE3O8573140PE0899AAJ1GCRPE2RN","0.8",3,5,4,0.177777777777778
"38","3SB5N7Y3O4024EOGEBCK199QSIJ0G5","0.9",4,5,4,0.177777777777778
"39","3XXU1SWE8NR1UNBDSBKA5NYNUNB0AY","0.6",5,4,5,0.0869565217391304
"40","3WS1NTTKEZ8WQESL3R62JO9ER3J0F6","0.8",5,5,5,0.0666666666666667
