"ResponseId","Confidence","R_Satisfaction","R_Trust","R_Useful","Empathy"
"1","3483FV8BEFF73V2OHL7C86PGVAZ628","Default",1,1,1,0.266666666666667
"2","3IOEN3P9S8F0EAKSYH7Y3NFB34L61R","HighOnly",4,3,1,0.111111111111111
"3","3018Q3ZVOJMPUHVCMO3PPJZA3QYARK","Default",2,2,2,0.155555555555556
"4","34MAJL3QP5JI9QUT2XS2UIAU5XT34V","Default",3,2,2,0.311111111111111
"5","3XLBSAQ9Z58GD6J5P2LI1VZJBUI7ZG","Default",3,2,2,0.133333333333333
"6","379J5II41PCHHWHBX98FZQG2IDHEL3","HighOnly",3,4,2,0.155555555555556
"7","30X31N5D64M1VWVP1D3UFT46PSHAS8","HighLow",3,3,3,0.311111111111111
"8","3KOPY89HM9Y8C8DE54F60KZDNZNJ3G","HighLow",3,3,3,0.333333333333333
"9","3LRKMWOKB6D9R5MZJQ4N54IB0EW2ZV","HighLow",3,3,3,0.133333333333333
"10","34J10VATJGU4OYZALX621RDOKD4IQ0","HighOnly",3,3,3,0.355555555555556
"11","3WAKVUDHUXCZR7PVJFMAK3K49C37UR","HighLow",4,3,3,0.311111111111111
"12","39K0FND3AIBYX1IKHG783K50X3ZAMW","HighOnly",4,3,3,0.311111111111111
"13","3FUI0JHJPYUXRUBP2JNJKDIOR2Q33D","HighOnly",4,4,3,0.288888888888889
"14","3D8YOU6S9FGGN7BQ05HIEPK8E1K6US","Default",2,3,4,0.266666666666667
"15","3A9AA95ATXI7CY3GE08JCDJ9AU9P51","HighLow",2,3,4,0.133333333333333
"16","3VZLGYJEYM6ASLPW7FPGVUC7DS8ZXO","HighLow",4,3,4,0.222222222222222
"17","3FTOP5WARGKCVGEHMHXNYM16KNT0JS","Default",4,4,4,0.222222222222222
"18","3NKQQ8O39Z1F8GQ5ASPWKVU0VT9UDM","Default",4,4,4,0.244444444444444
"19","31JLPPHS2VQMDJ4BLH7B8GGZMWC3O4","HighLow",4,4,4,0.177777777777778
"20","3F0BG9B9MQJG8G90TGJZNOQH50E7YP","HighLow",4,4,4,0.155555555555556
"21","3KYQYYSHYW3KVB68E6DNLP2BD6BDOG","HighLow",4,4,4,0.266666666666667
"22","3COPXFW7XC8AUHOJLNCPE22R7K5KPI","HighOnly",4,4,4,0.222222222222222
"23","3SB5N7Y3O4024EOGEBCK199QSQI0GK","HighOnly",4,4,4,0.266666666666667
"24","3WS1NTTKEZ8WQESL3R62JO9ERBIF00","Default",5,4,4,0.288888888888889
"25","3137ONMDKH11V43AMIBZMYBUMRSGEM","HighLow",5,4,4,0.288888888888889
"26","3B1NLC6UG0S5SVS0VWRAGAAY06IGPB","Default",3,5,4,0.111111111111111
"27","3QHK8ZVMINEJAT5RNI6PYIAHFB1BLN","Default",5,3,5,0.266666666666667
"28","3GLB5JMZFYRW3YPAQN0FGGT9MKKDGT","HighOnly",4,4,5,0.288888888888889
"29","39RP059MEIP3GBNCNU74YVP6FLWBM4","HighOnly",5,4,5,0.155555555555556
"30","3NJM2BJS4X2SBJCVTAVRQJPJ2CZCP2","HighOnly",5,5,5,0.155555555555556
