TaskType,Confidence,TreatmentTypes,ConversationIds
0,Default,"[1,1,1,1,0,1,1,0,1,0,0,1,0,1,1]","[2,5,4,8,14,10,6,11,3,13,15,1,12,9,7]"
0,HighLow,"[0,2,0,2,2,3,3,2,0,0,3,3,0,3,2]","[15,4,11,3,2,10,9,5,14,13,7,6,12,8,1]"
0,HighOnly,"[0,2,2,2,0,0,2,2,0,0,0,0,0,0,0]","[11,1,2,4,8,7,3,5,13,9,12,6,14,10,15]"
0,Default,"[1,1,1,0,0,1,1,1,1,0,1,1,1,0,0]","[8,5,10,13,14,3,6,1,4,11,2,7,9,15,12]"
0,HighLow,"[2,3,0,2,0,2,2,2,0,3,0,3,0,3,3]","[4,10,15,3,11,2,5,1,14,6,12,8,13,7,9]"
0,HighOnly,"[0,0,0,0,0,2,2,0,0,0,2,2,2,0,0]","[6,9,13,10,8,2,5,12,7,11,4,3,1,14,15]"
0,Default,"[0,1,1,0,1,1,1,1,0,1,1,1,0,1,0]","[11,4,7,13,3,9,5,8,12,2,10,1,15,6,14]"
0,HighLow,"[0,2,2,3,3,2,0,2,2,3,3,0,0,0,3]","[13,4,2,9,10,1,14,3,5,7,8,11,12,15,6]"
0,HighOnly,"[0,2,0,2,0,0,2,0,2,2,0,0,0,0,0]","[10,4,7,2,11,14,1,8,3,5,13,9,6,12,15]"
0,Default,"[0,1,1,1,1,0,1,1,0,0,1,0,1,1,1]","[12,1,7,4,8,11,3,5,15,13,10,14,6,2,9]"
0,HighLow,"[3,3,0,2,0,0,3,3,3,2,2,0,0,2,2]","[8,6,15,1,14,13,9,7,10,3,5,12,11,4,2]"
0,HighOnly,"[0,0,0,2,2,0,0,0,2,0,2,0,0,0,2]","[9,12,7,1,2,13,11,6,3,10,5,14,15,8,4]"
0,Default,"[1,1,1,0,1,0,1,1,1,0,0,1,1,1,0]","[5,1,9,12,10,13,6,3,7,14,11,2,4,8,15]"
0,HighLow,"[3,0,0,3,3,2,2,2,3,0,2,2,3,0,0]","[8,14,11,7,9,5,3,4,6,13,1,2,10,12,15]"
0,HighOnly,"[0,2,0,2,2,0,0,0,2,2,0,0,0,0,0]","[13,4,14,3,2,15,6,8,1,5,12,10,11,7,9]"
0,Default,"[1,0,1,1,0,1,0,1,0,1,1,1,1,0,1]","[10,14,9,7,13,6,12,3,11,8,5,1,2,15,4]"
0,HighLow,"[2,3,2,2,0,3,2,0,3,0,2,3,0,0,3]","[4,10,5,2,13,6,1,15,7,14,3,9,11,12,8]"
0,HighOnly,"[0,0,0,0,2,2,0,0,0,2,2,0,2,0,0]","[11,6,13,7,3,4,15,10,9,2,5,14,1,12,8]"
0,Default,"[1,1,0,1,0,1,1,0,1,1,0,1,1,1,0]","[4,8,11,7,12,6,10,13,3,1,15,2,5,9,14]"
0,HighLow,"[2,3,3,2,2,2,3,0,0,2,3,0,0,0,3]","[4,10,6,5,3,2,9,13,11,1,7,14,15,12,8]"
0,HighOnly,"[2,0,0,2,0,0,0,2,0,2,0,0,0,2,0]","[1,13,7,4,14,12,11,5,9,3,10,6,15,2,8]"
0,Default,"[1,1,1,0,1,1,1,0,1,1,1,1,0,0,0]","[3,6,10,11,5,9,8,14,7,4,2,1,15,13,12]"
0,HighLow,"[0,2,2,0,3,2,0,0,2,2,3,3,3,3,0]","[14,1,2,15,6,3,12,11,5,4,9,8,7,10,13]"
0,HighOnly,"[0,0,0,0,2,0,2,2,2,0,0,0,2,0,0]","[15,13,11,10,5,9,4,2,3,12,6,8,1,7,14]"
0,Default,"[0,0,1,1,1,0,1,0,1,1,1,1,1,0,1]","[12,15,2,6,3,11,7,14,5,1,10,9,8,13,4]"
0,HighLow,"[3,0,3,3,3,2,0,2,0,3,2,0,2,2,0]","[8,14,10,9,6,1,12,3,11,7,5,15,2,4,13]"
0,HighOnly,"[2,0,0,0,0,0,2,0,2,0,0,2,2,0,0]","[2,6,9,7,13,15,1,12,3,10,8,4,5,11,14]"
0,Default,"[1,1,1,1,0,1,1,0,0,1,0,0,1,1,1]","[10,9,6,5,12,3,4,15,13,1,14,11,7,8,2]"
0,HighLow,"[0,3,0,2,0,2,2,0,3,3,3,2,3,0,2]","[13,9,15,5,11,4,2,12,8,10,6,1,7,14,3]"
0,HighOnly,"[2,0,2,0,0,0,2,0,0,2,0,0,2,0,0]","[2,15,4,13,7,14,3,12,8,1,6,11,5,9,10]"
